@RELATION "dataset ONOS"

@ATTRIBUTE Src-Port NUMERIC
@ATTRIBUTE Dst-Port NUMERIC
@ATTRIBUTE Total-Len-Fwd-Pkts NUMERIC
@ATTRIBUTE Total-Len-Bwd-Pkts NUMERIC
@ATTRIBUTE Fwd-Pkt-Len-Min NUMERIC
@ATTRIBUTE Pkt-Len-Mean NUMERIC
@ATTRIBUTE Flow-IAT-Min NUMERIC
@ATTRIBUTE Fwd-IAT-Min NUMERIC
@ATTRIBUTE Bwd-IAT-Mean NUMERIC
@ATTRIBUTE Fwd-PSH-Flags NUMERIC
@ATTRIBUTE PSH-Flag-Cnt NUMERIC
@ATTRIBUTE ACK-Flag-Cnt NUMERIC
@ATTRIBUTE Label {0, 1}

@DATA
20,42289,665,164,52,103,5,8,15,1,1,7,0
55250,21,811,856,52,64,1,5,14,6,14,25,0
55250,21,811,856,52,64,1,5,14,6,14,25,0
40892,139,100,60,40,53,24,34,0,0,0,1,0
54292,445,216,164,52,54,7,7,25,0,0,6,0
36094,80,446,1340,52,178,4,4,17,1,2,9,0
53344,25,322,384,40,64,13,7,2080,1,3,8,0
40904,139,100,60,40,53,8,23,0,0,0,1,0
54304,445,216,164,52,54,4,5,15,0,0,6,0
40908,139,100,60,40,53,22,28,0,0,0,1,0
54308,445,216,164,52,54,5,5,17,0,0,6,0
36110,80,446,1340,52,178,4,4,18,1,2,9,0
40918,139,100,60,40,53,12,18,0,0,0,1,0
54318,445,216,164,52,54,4,5,14,0,0,6,0
40922,139,100,60,40,53,26,32,0,0,0,1,0
54322,445,216,164,52,54,5,5,19,0,0,6,0
36122,80,446,1340,52,178,4,4,20,1,2,9,0
36244,22,4908,5358,52,218,8,5,452,13,25,46,0
36248,22,4908,5358,52,218,0,4,451,13,25,46,0
36248,22,4908,5358,52,218,0,4,451,13,25,46,0
36130,80,446,1340,52,178,4,4,17,1,2,9,0
53384,25,282,384,40,66,6,4,2273,1,3,8,0
53384,25,40,0,40,40,0,0,0,0,0,0,0
36254,22,4892,4318,52,195,1,4,399,13,25,46,0
36254,22,4892,4318,52,195,1,4,399,13,25,46,0
36256,22,4892,4318,52,195,2,4,450,13,25,46,0
36256,22,4892,4318,52,195,2,4,450,13,25,46,0
20,44615,665,164,52,103,5,8,15,1,1,7,0
55304,21,759,856,52,64,2,4,13,6,14,24,0
20,53983,665,164,52,103,5,9,16,1,1,7,0
55306,21,812,856,52,64,1,4,13,6,14,25,0
55306,21,812,856,52,64,1,4,13,6,14,25,0
40952,139,100,60,40,53,14,25,0,0,0,1,0
54352,445,216,164,52,54,5,7,15,0,0,6,0
40956,139,100,60,40,53,12,25,0,0,0,1,0
54356,445,216,164,52,54,6,6,15,0,0,6,0
53398,25,282,384,40,66,4,4,2504,1,3,8,0
53398,25,282,384,40,66,4,4,2504,1,3,8,0
53398,25,40,0,40,40,0,0,0,0,0,0,0
36278,22,4908,5358,52,218,0,4,451,13,25,46,0
36278,22,4908,5358,52,218,0,4,451,13,25,46,0
40964,139,100,60,40,53,11,23,0,0,0,1,0
54364,445,216,164,52,54,8,8,23,0,0,6,0
36284,22,4908,5358,52,218,0,4,376,13,25,46,0
36284,22,4908,5358,52,218,0,4,376,13,25,46,0
40970,139,100,60,40,53,21,31,0,0,0,1,0
54370,445,216,164,52,54,6,7,16,0,0,6,0
36290,22,4892,4318,52,195,2,4,450,13,25,46,0
46082,8180,763,9395,52,461,4,4,11,1,2,21,0
36180,80,446,1340,52,178,5,5,19,1,2,9,0
53428,25,282,384,40,66,4,4,2503,1,3,8,0
53428,25,282,384,40,66,4,4,2503,1,3,8,0
53428,25,40,0,40,40,0,0,0,0,0,0,0
36302,22,4908,5358,52,218,2,4,451,13,25,46,0
40990,139,100,60,40,53,19,31,0,0,0,1,0
54390,445,216,164,52,54,5,5,19,0,0,6,0
20,34957,665,164,52,103,5,8,19,1,1,7,0
55354,21,812,856,52,64,0,4,15,6,14,25,0
55354,21,812,856,52,64,0,4,15,6,14,25,0
46102,8180,763,9395,52,461,4,4,9,1,2,21,0
46112,8180,763,9395,52,461,1,4,10,1,2,21,0
36208,80,446,1340,52,178,4,4,19,1,2,9,0
46120,8180,763,9395,52,461,1,4,9,1,2,21,0
46128,8180,763,9395,52,461,1,4,8,1,2,21,0
41024,139,100,60,40,53,11,22,0,0,0,1,0
54424,445,216,164,52,54,5,7,15,0,0,6,0
36224,80,446,1340,52,178,4,4,19,1,2,9,0
20,39947,665,164,52,103,5,8,15,1,1,7,0
55392,21,811,856,52,64,1,4,14,6,14,25,0
55392,21,811,856,52,64,1,4,14,6,14,25,0
36230,80,446,1340,52,178,4,4,17,1,2,9,0
46142,8180,763,9395,52,461,1,4,9,1,2,21,0
20,60357,665,164,52,103,4,8,15,1,1,7,0
55400,21,760,856,52,64,2,4,13,6,14,24,0
53458,25,322,384,40,64,1,4,2504,1,3,8,0
53464,25,282,384,40,66,3,4,2504,1,3,8,0
53464,25,282,384,40,66,3,4,2504,1,3,8,0
